tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
967,2075,514,1382,0.6160388821385177,0.6529372045914922,0.4116645381013197,0.5049608355091384,0.6583439679384947,0.43622323870658875,FFPP,CDF,spatial,0
452,2177,412,1897,0.5324017820980154,0.5231481481481481,0.1924223073648361,0.28135698723934016,0.5453118862081627,0.9378130435943604,FFPP,CDF,freq,0
1162,1799,790,1187,0.5996354799513973,0.5952868852459017,0.4946785866326096,0.5403394559404789,0.6127054386201174,0.5202481150627136,FFPP,CDF,hybrid,0
479,2865,13,2384,0.5824769203971434,0.9735772357723578,0.1673070206077541,0.28554396423248884,0.6152405896612432,0.2855185270309448,CDF,FFPP,spatial,0
1162,1650,1228,1701,0.48981013760668873,0.48619246861924686,0.4058679706601467,0.4424138587473824,0.5061879574946412,0.9971345663070679,CDF,FFPP,freq,0
572,2765,113,2291,0.5812576206235848,0.8350364963503649,0.19979042961928048,0.322435174746336,0.6352175573084211,0.3458821773529053,CDF,FFPP,hybrid,0
863,2152,437,1486,0.6105710814094775,0.6638461538461539,0.3673903788846318,0.47300630309673886,0.6638284151059242,0.5614244937896729,FFPP,CDF,spatial,1
726,1994,595,1623,0.5508302956662616,0.5495836487509462,0.3090676883780332,0.39564032697547685,0.556967857430025,0.526912271976471,FFPP,CDF,freq,1
1179,1759,830,1170,0.5949777237748076,0.5868591338974615,0.5019157088122606,0.5410738871041763,0.6249022249386301,0.1313522458076477,FFPP,CDF,hybrid,1
388,2873,5,2475,0.568019508796377,0.9872773536895675,0.1355221795319595,0.23832923832923833,0.5999506778997427,0.5718900561332703,CDF,FFPP,spatial,1
1614,1390,1488,1249,0.5232537885385822,0.5203094777562862,0.5637443241355222,0.5411567476948869,0.5341495469381583,0.498930960893631,CDF,FFPP,freq,1
499,2828,50,2364,0.5795157638042153,0.9089253187613844,0.1742926999650716,0.2924970691676436,0.6102934519329191,0.4911276698112488,CDF,FFPP,hybrid,1
923,2112,477,1426,0.6146213041717294,0.6592857142857143,0.39293316304810555,0.4923979727927447,0.6557454574573864,0.4186708331108093,FFPP,CDF,spatial,2
589,2056,533,1760,0.535641960307817,0.5249554367201426,0.25074499787143467,0.3393834629789686,0.569328581921648,0.0006536984001286328,FFPP,CDF,freq,2
1339,1608,981,1010,0.596800324017821,0.5771551724137931,0.5700297999148574,0.5735703576783037,0.6224549914076337,0.15901653468608856,FFPP,CDF,hybrid,2
407,2871,7,2456,0.570980665389305,0.9830917874396136,0.1421585749214111,0.24839792493133964,0.610309775315017,0.4954579174518585,CDF,FFPP,spatial,2
911,1963,915,1952,0.5006096498867794,0.49890470974808326,0.3181976947258121,0.38856899125613137,0.5218864999440515,0.9451448917388916,CDF,FFPP,freq,2
369,2847,31,2494,0.5601811531092145,0.9225,0.12888578414250787,0.22617223414036164,0.6210934020282743,0.6969012022018433,CDF,FFPP,hybrid,2
