tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
3388,3073,1731,1028,0.7007592190889371,0.6618480171908576,0.7672101449275363,0.7106449921342423,0.7779026611278042,0.12651671469211578,FFPP,FFPP,spatial,0
3116,1813,2991,1300,0.5345986984815618,0.5102341575241526,0.7056159420289855,0.5922265513636795,0.5717708917840205,0.4511965215206146,FFPP,FFPP,freq,0
2778,2869,1935,1638,0.6124728850325379,0.5894334818586887,0.6290760869565217,0.608609924416694,0.6548173925110716,0.22941160202026367,FFPP,FFPP,hybrid,0
3094,3681,280,317,0.9190179055887141,0.91701244813278,0.9070653767223688,0.9120117907148121,0.968440351178313,0.5635623335838318,CDF,CDF,spatial,0
1747,2366,1595,1664,0.5579218665219751,0.5227408737283064,0.5121665200820874,0.5173996742188657,0.5849523324415395,0.9260094165802002,CDF,CDF,freq,0
2904,3302,659,507,0.8418339663591969,0.8150435026662924,0.851363236587511,0.832807570977918,0.9181174691293467,0.2521646022796631,CDF,CDF,hybrid,0
3336,3139,1665,1080,0.7022776572668112,0.6670665866826635,0.7554347826086957,0.7085058935966868,0.7802881326626966,0.17474175989627838,FFPP,FFPP,spatial,1
1987,3121,1683,2429,0.5540130151843817,0.54141689373297,0.44995471014492755,0.4914667326242889,0.5612962929442855,0.050322823226451874,FFPP,FFPP,freq,1
2676,2872,1932,1740,0.6017353579175705,0.5807291666666666,0.6059782608695652,0.5930851063829787,0.6402450233953589,0.1698572337627411,FFPP,FFPP,hybrid,1
3138,3601,360,273,0.9141345632121541,0.8970840480274442,0.9199648197009674,0.9083803734259661,0.9705006398133782,0.4240398406982422,CDF,CDF,spatial,1
1538,2516,1445,1873,0.5499186109603906,0.5155883338920549,0.45089416593374376,0.4810760087582108,0.5587395236064086,0.9437738060951233,CDF,CDF,freq,1
2936,3463,498,475,0.8680141074335322,0.8549796156086197,0.8607446496628555,0.8578524470416362,0.9287497915582825,0.26781800389289856,CDF,CDF,hybrid,1
3418,3020,1784,998,0.6982646420824296,0.6570549788542868,0.7740036231884058,0.710750675816178,0.7819023615208944,0.14294758439064026,FFPP,FFPP,spatial,2
2322,2341,2463,2094,0.5057483731019523,0.4852664576802508,0.5258152173913043,0.5047277469840235,0.5037793083058804,0.666263997554779,FFPP,FFPP,freq,2
2735,2938,1866,1681,0.61529284164859,0.594435992175614,0.619338768115942,0.6066319174891871,0.6543660495028298,0.17548330128192902,FFPP,FFPP,hybrid,2
3100,3632,329,311,0.9131850244167119,0.9040536599591718,0.9088243916739959,0.9064327485380117,0.9678432068279919,0.4018514156341553,CDF,CDF,spatial,2
1783,2497,1464,1628,0.5805751492132393,0.5491222667077302,0.5227206097918499,0.535596275157705,0.6142983357746826,0.7483746409416199,CDF,CDF,freq,2
2789,3592,369,622,0.8655724362452523,0.883153894870171,0.8176487833479917,0.8491398995280864,0.9238848932471249,0.7166415452957153,CDF,CDF,hybrid,2
