tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
745,707,657,400,0.5787166201673973,0.5313837375178316,0.6506550218340611,0.5850019630938359,0.597844766868573,0.3033750057220459,FFPP,CDF,spatial,0
551,510,854,594,0.42287764049422083,0.3921708185053381,0.4812227074235808,0.432156862745098,0.43838824930527986,0.5200172066688538,FFPP,CDF,freq,0
866,586,778,279,0.5787166201673973,0.5267639902676399,0.7563318777292577,0.6210111150950162,0.6051479721855832,0.41002699732780457,FFPP,CDF,hybrid,0
7,1667,1,1512,0.5252588641355507,0.875,0.004608294930875576,0.0091683038637852,0.6658625042033524,0.655986487865448,CDF,FFPP,spatial,0
1023,589,1079,496,0.5058048321305303,0.4866793529971456,0.673469387755102,0.5650372825186413,0.5334425020878624,0.002785156015306711,CDF,FFPP,freq,0
110,1646,22,1409,0.550988390335739,0.8333333333333334,0.07241606319947334,0.1332525741974561,0.47169446799374193,0.43101948499679565,CDF,FFPP,hybrid,0
804,704,660,341,0.6010362694300518,0.5491803278688525,0.7021834061135371,0.6163280950555768,0.6224506652665549,0.41084086894989014,FFPP,CDF,spatial,1
305,986,378,840,0.5145476285372659,0.4465592972181552,0.2663755458515284,0.3336980306345733,0.44593988910089766,0.4341829717159271,FFPP,CDF,freq,1
884,486,878,261,0.5460342766042248,0.5017026106696936,0.7720524017467248,0.6081871345029239,0.5647373509713276,0.4798838794231415,FFPP,CDF,hybrid,1
16,1667,1,1503,0.5280828365233762,0.9411764705882353,0.01053324555628703,0.020833333333333332,0.6456538521651407,0.6066611409187317,CDF,FFPP,spatial,1
1032,419,1249,487,0.45528710385942894,0.45243314335817625,0.6793943383805134,0.5431578947368421,0.4376652726535033,0.005604835692793131,CDF,FFPP,freq,1
122,1647,21,1397,0.555067461562598,0.8531468531468531,0.08031599736668861,0.14681107099879662,0.4954757721143691,0.5528742671012878,CDF,FFPP,hybrid,1
293,1135,229,852,0.5691510561976884,0.5613026819923371,0.25589519650655024,0.3515296940611878,0.6157218046075631,0.797339677810669,FFPP,CDF,spatial,2
809,569,795,336,0.5492227979274611,0.5043640897755611,0.7065502183406114,0.588577664605311,0.5835197659081305,0.970845639705658,FFPP,CDF,freq,2
1101,130,1234,44,0.4906337186129932,0.4715203426124197,0.9615720524017467,0.6327586206896552,0.5205752410710855,0.4524252414703369,FFPP,CDF,hybrid,2
2,1668,0,1517,0.5240037652965172,1.0,0.0013166556945358788,0.0026298487836949377,0.6509646792112065,0.6591149568557739,CDF,FFPP,spatial,2
1190,459,1209,329,0.5174144963915909,0.496040016673614,0.783410138248848,0.6074527820316488,0.5136543826163559,0.01600983738899231,CDF,FFPP,freq,2
152,1657,11,1367,0.5676184499529338,0.9325153374233128,0.10006583278472679,0.1807372175980975,0.4839238549910565,0.2967613935470581,CDF,FFPP,hybrid,2
