tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
1115,1052,616,404,0.6799497960464387,0.6441363373772386,0.7340355497037525,0.6861538461538461,0.7298132527552679,0.3033750057220459,FFPP,FFPP,spatial,0
1050,360,1308,469,0.4424223407593348,0.44529262086513993,0.6912442396313364,0.5416559195254063,0.4221132639642072,0.5200172066688538,FFPP,FFPP,freq,0
1039,768,900,480,0.566990900533417,0.5358432181536875,0.6840026333113891,0.6009253903990746,0.6022938068241916,0.41002699732780457,FFPP,FFPP,hybrid,0
862,1276,88,283,0.8521323236349143,0.9073684210526316,0.7528384279475983,0.8229116945107399,0.9154887372101064,0.655986487865448,CDF,CDF,spatial,0
776,659,705,369,0.5719410123555201,0.5239702903443619,0.6777292576419214,0.591012947448591,0.5371544007478646,0.002785156015306711,CDF,CDF,freq,0
724,1078,286,421,0.7182144280589876,0.7168316831683168,0.6323144104803493,0.6719257540603248,0.7909705592336949,0.43101948499679565,CDF,CDF,hybrid,0
1075,1131,537,444,0.692187009727016,0.6668734491315137,0.7077024358130349,0.6866815713829447,0.7517882994460259,0.41084086894989014,FFPP,FFPP,spatial,1
744,685,983,775,0.44838406024474425,0.430804863925883,0.4897959183673469,0.4584103512014787,0.44084067834606566,0.4341829717159271,FFPP,FFPP,freq,1
1034,586,1082,485,0.5083150298085974,0.4886578449905482,0.6807109940750494,0.5689133425034388,0.5238116945548235,0.4798838794231415,FFPP,FFPP,hybrid,1
902,1233,131,243,0.8509366281387006,0.8731848983543078,0.7877729257641921,0.8282828282828283,0.9130236012754678,0.6066611409187317,CDF,CDF,spatial,1
430,711,653,715,0.4547628537265843,0.39704524469067404,0.37554585152838427,0.3859964093357271,0.44063824610380464,0.005604835692793131,CDF,CDF,freq,1
771,1048,316,374,0.7249900358708649,0.7092916283348666,0.6733624454148471,0.6908602150537635,0.792023204292538,0.5528742671012878,CDF,CDF,hybrid,1
608,1435,233,911,0.6410417320363979,0.72294887039239,0.40026333113890716,0.5152542372881356,0.7482606409934592,0.797339677810669,FFPP,FFPP,spatial,2
1169,341,1327,350,0.47379981173517416,0.468349358974359,0.7695852534562212,0.5823163138231632,0.5440162024429173,0.970845639705658,FFPP,FFPP,freq,2
1320,161,1507,199,0.4647003451521807,0.4669260700389105,0.8689927583936801,0.6074551311550851,0.49524646247452336,0.4524252414703369,FFPP,FFPP,hybrid,2
858,1282,82,287,0.8529294539657234,0.9127659574468086,0.7493449781659388,0.823021582733813,0.9137682644162431,0.6591149568557739,CDF,CDF,spatial,2
813,504,860,332,0.5249103228377839,0.4859533771667663,0.7100436681222707,0.5770049680624556,0.5230013190077988,0.01600983738899231,CDF,CDF,freq,2
783,977,387,362,0.7014746911119968,0.6692307692307692,0.6838427947598253,0.6764578833693304,0.7789784732804876,0.2967613935470581,CDF,CDF,hybrid,2
