tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
90,375,123,347,0.49732620320855614,0.4225352112676056,0.20594965675057209,0.27692307692307694,0.5490566384531261,0.4998690187931061,FFPP,CDF,spatial,0
220,216,282,217,0.4663101604278075,0.43824701195219123,0.5034324942791762,0.4685835995740149,0.46849181623519254,0.9999754428863525,FFPP,CDF,freq,0
146,463,35,291,0.651336898395722,0.8066298342541437,0.3340961098398169,0.47249190938511326,0.7667328352310845,0.4102840721607208,FFPP,CDF,hybrid,0
180,469,150,383,0.5490693739424704,0.5454545454545454,0.3197158081705151,0.40313549832026874,0.5012238268909058,0.658726692199707,CDF,FFPP,spatial,0
527,100,519,36,0.5304568527918782,0.5038240917782026,0.9360568383658969,0.6550652579241765,0.5609804388560016,0.35437309741973877,CDF,FFPP,freq,0
241,276,343,322,0.4373942470389171,0.4126712328767123,0.4280639431616341,0.4202266782911944,0.5138925155740222,0.4773540794849396,CDF,FFPP,hybrid,0
243,437,61,194,0.7272727272727273,0.7993421052631579,0.5560640732265446,0.6558704453441295,0.7865397516840819,0.5659422874450684,FFPP,CDF,spatial,1
154,391,107,283,0.5828877005347594,0.5900383141762452,0.3524027459954233,0.44126074498567336,0.6010862672658598,0.997536301612854,FFPP,CDF,freq,1
255,343,155,182,0.6395721925133689,0.6219512195121951,0.5835240274599542,0.602125147579693,0.7203642947074338,0.09167642146348953,FFPP,CDF,hybrid,1
231,405,214,332,0.5380710659898477,0.5191011235955056,0.4103019538188277,0.4583333333333333,0.5056858452153103,0.3633323013782501,CDF,FFPP,spatial,1
532,100,519,31,0.5346869712351946,0.5061845861084682,0.9449378330373002,0.6592317224287485,0.5649431702424984,0.36408889293670654,CDF,FFPP,freq,1
253,293,326,310,0.4619289340101523,0.4369602763385147,0.4493783303730018,0.44308231173380036,0.5461739986283957,0.4622856676578522,CDF,FFPP,hybrid,1
59,296,202,378,0.37967914438502676,0.2260536398467433,0.13501144164759726,0.16905444126074498,0.31285094611857034,0.4803130626678467,FFPP,CDF,spatial,2
109,458,40,328,0.6064171122994653,0.7315436241610739,0.2494279176201373,0.3720136518771331,0.6741657706340236,0.04746956750750542,FFPP,CDF,freq,2
356,281,217,81,0.681283422459893,0.6212914485165794,0.8146453089244852,0.7049504950495049,0.7528558168601178,0.10584262758493423,FFPP,CDF,hybrid,2
214,472,147,349,0.5803722504230119,0.592797783933518,0.38010657193605685,0.46320346320346323,0.5463547749335002,0.523675262928009,CDF,FFPP,spatial,2
417,123,496,146,0.45685279187817257,0.45673603504928806,0.7406749555950266,0.5650406504065041,0.5778471550687667,0.4527674913406372,CDF,FFPP,freq,2
309,249,370,254,0.4720812182741117,0.45508100147275404,0.5488454706927176,0.4975845410628019,0.5315712904271772,0.3666990101337433,CDF,FFPP,hybrid,2
